"Game.ID","Date","Away.Team","Away.Team.ID","A.Score","away_week","DaysofRest.Away.Team","A_Streak","Home.Team","H.Team.ID","No.of.Players.H","No.of.Players.A","H.Score","home_week","DaysofRest.Home.Team","H_Streak"
1,"27/10/2015","Detroit Pistons",9,106,1,0,"0","Atlanta Hawks",1,9,12,94,1,0,"0"
2,"27/10/2015","Cleveland Cavaliers",6,95,1,0,"0","Chicago Bulls",5,11,11,97,1,0,"0"
3,"27/10/2015","New Orleans Pelicans",19,95,1,0,"0","Golden State Warriors",10,9,12,111,1,0,"0"
4,"28/10/2015","Philadelphia 76ers",23,95,1,0,"0","Boston Celtics",2,9,12,112,1,0,"0"
5,"28/10/2015","Chicago Bulls",5,115,2,1,"W 1","Brooklyn Nets",3,11,12,100,1,0,"0"
6,"28/10/2015","Utah Jazz",29,87,1,0,"0","Detroit Pistons",9,11,12,92,2,1,"W 1"
7,"28/10/2015","Denver Nuggets",8,105,1,0,"0","Houston Rockets",11,12,12,85,1,0,"0"
8,"28/10/2015","Minnesota Timberwolves",18,112,1,0,"0","Los Angeles Lakers",14,12,11,111,1,0,"0"
9,"28/10/2015","Cleveland Cavaliers",6,106,2,1,"L 1","Memphis Grizzlies",15,12,12,76,1,0,"0"
10,"28/10/2015","Charlotte Hornets",4,94,1,0,"0","Miami Heat",16,10,11,104,1,0,"0"
11,"28/10/2015","New York Knicks",20,122,1,0,"0","Milwaukee Bucks",17,11,12,97,1,0,"0"
12,"28/10/2015","San Antonio Spurs",27,106,1,0,"0","Oklahoma City Thunder",21,10,11,112,1,0,"0"
13,"28/10/2015","Washington Wizards",30,88,1,0,"0","Orlando Magic",22,9,11,87,1,0,"0"
14,"28/10/2015","Dallas Mavericks",7,111,1,0,"0","Phoenix Suns",24,12,12,95,1,0,"0"
15,"28/10/2015","New Orleans Pelicans",19,94,2,1,"L 1","Portland Trail Blazers",25,10,10,112,1,0,"0"
16,"28/10/2015","Los Angeles Clippers",13,111,1,0,"0","Sacramento Kings",26,11,12,104,1,0,"0"
17,"28/10/2015","Indiana Pacers",12,99,1,0,"0","Toronto Raptors",28,10,11,106,1,0,"0"
18,"29/10/2015","Memphis Grizzlies",15,112,2,1,"L 1","Indiana Pacers",12,10,11,103,2,1,"L 1"
19,"29/10/2015","Dallas Mavericks",7,88,2,1,"W 1","Los Angeles Clippers",13,11,12,104,2,1,"W 1"
20,"29/10/2015","Atlanta Hawks",1,112,2,2,"L 1","New York Knicks",20,11,12,101,2,1,"W 1"
21,"30/10/2015","Charlotte Hornets",4,94,2,2,"L 1","Atlanta Hawks",1,10,10,97,3,1,"W 1"
22,"30/10/2015","Toronto Raptors",28,113,2,2,"W 1","Boston Celtics",2,11,12,103,2,2,"W 1"
23,"30/10/2015","Miami Heat",16,92,2,2,"W 1","Cleveland Cavaliers",6,12,12,102,3,2,"W 1"
24,"30/10/2015","Minnesota Timberwolves",18,95,2,2,"W 1","Denver Nuggets",8,10,12,78,2,2,"W 1"
25,"30/10/2015","Chicago Bulls",5,94,3,2,"W 2","Detroit Pistons",9,10,11,98,3,2,"W 2"
26,"30/10/2015","Golden State Warriors",10,112,2,3,"W 1","Houston Rockets",11,12,12,92,2,2,"L 1"
27,"30/10/2015","Washington Wizards",30,118,2,2,"W 1","Milwaukee Bucks",17,12,11,113,2,2,"L 1"
28,"30/10/2015","Oklahoma City Thunder",21,139,2,2,"W 1","Orlando Magic",22,10,11,136,2,2,"L 1"
29,"30/10/2015","Utah Jazz",29,99,2,2,"L 1","Philadelphia 76ers",23,12,11,71,2,2,"L 1"
30,"30/10/2015","Portland Trail Blazers",25,92,2,2,"W 1","Phoenix Suns",24,12,12,110,2,2,"L 1"
31,"30/10/2015","Los Angeles Lakers",14,114,2,2,"L 1","Sacramento Kings",26,12,12,132,2,2,"L 1"
32,"30/10/2015","Brooklyn Nets",3,75,2,2,"L 1","San Antonio Spurs",27,12,12,102,2,2,"L 1"
33,"31/10/2015","Utah Jazz",29,97,3,1,"W 1","Indiana Pacers",12,12,12,76,3,2,"L 2"
34,"31/10/2015","Sacramento Kings",26,109,3,1,"W 1","Los Angeles Clippers",13,10,12,114,3,2,"W 2"
35,"31/10/2015","Brooklyn Nets",3,91,3,1,"L 2","Memphis Grizzlies",15,11,11,101,3,2,"W 1"
36,"31/10/2015","Golden State Warriors",10,134,3,1,"W 2","New Orleans Pelicans",19,12,12,120,3,3,"L 2"
37,"31/10/2015","Phoenix Suns",24,101,3,1,"W 1","Portland Trail Blazers",25,11,11,90,3,1,"L 1"
38,"31/10/2015","New York Knicks",20,117,3,2,"L 1","Washington Wizards",30,10,12,110,3,1,"W 2"
39,"01/11/2015","San Antonio Spurs",27,95,3,2,"W 1","Boston Celtics",2,11,12,87,3,2,"L 1"
