Game.ID,Date,Away.Team,Away.Team.ID,A.Score,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,DaysofRest.Home.Team,A.Player1,A.MP1,WA1,A.Player2,A.MP2,WA2,A.Player3,A.MP3,WA3,A.Player4,A.MP4,WA4,A.Player5,A.MP5,WA5,A.Player6,A.MP6,WA6,A.Player7,A.MP7,WA7,A.Player8,A.MP8,WA8,A.Player9,A.MP9,WA9,A.Player10,A.MP10,WA10,A.Player11,A.MP11,WA11,A.Player12,A.MP12,WA12,H.Player1,MP1,WH1,H.Player2,MP2,WH2,H.Player3,MP3,WH3,H.Player4,MP4,WH4,H.Player5,MP5,WH5,H.Player6,MP6,WH6,H.Player7,MP7,WH7,H.Player8,MP8,WH8,H.Player9,MP9,WH9,H.Player10,MP10,WH10,H.Player11,MP11,WH11,H.Player12,MP12,WH12
1,27/10/2015,Detroit Pistons,9,106,0,Atlanta Hawks,1,11,9,94,0,21,37.15,0.154791667,347,37.08333333,0.154513889,297,37.05,0.154375,162,34.43333333,0.143472222,433,32.11666667,0.133819444,474,24.48333333,0.102013889,476,15.88333333,0.066180556,245,10.95,0.045625,37,10.85,0.045208333,NA,0,0,NA,0,0,NA,0,0,414,36,0.15,233,31.86666667,0.132777778,6,30.23333333,0.125972222,317,28.7,0.119583333,296,20.83333333,0.086805556,127,25.36666667,0.105694444,488,18.93333333,0.078888889,322,18.3,0.07625,492,16.3,0.067916667,373,7.983333333,0.033263889,374,5.483333333,0.022847222,NA,0,0
2,27/10/2015,Cleveland Cavaliers,6,95,0,Chicago Bulls,5,10,11,97,0,378,37.15,0.154791667,331,36.06666667,0.150277778,300,34.81666667,0.145069444,198,30.45,0.126875,498,20.9,0.087083333,510,24.91666667,0.103819444,363,20.2,0.084166667,434,16.95,0.070625,19,11.55,0.048125,212,3.816666667,0.015902778,216,3.183333333,0.013263889,NA,0,0,243,36.63333333,0.152638889,130,32.46666667,0.135277778,412,31.55,0.131458333,504,28.8,0.12,392,25.23333333,0.105138889,482,22.1,0.092083333,244,17.11666667,0.071319444,142,16.2,0.0675,1,15.53333333,0.064722222,149,14.36666667,0.059861111,NA,0,0,NA,0,0
3,27/10/2015,New Orleans Pelicans,19,95,0,Golden State Warriors,10,12,9,111,0,33,34.51666667,0.143819444,158,33.48333333,0.139513889,114,26.51666667,0.110486111,382,19.05,0.079375,294,15.88333333,0.066180556,191,38.01666667,0.158402778,449,28.66666667,0.119444444,16,26.93333333,0.112222222,14,16.93333333,0.070555556,NA,0,0,NA,0,0,NA,0,0,475,35.61666667,0.148402778,182,32.7,0.13625,143,29.43333333,0.122638889,308,26.43333333,0.110138889,27,18.7,0.077916667,22,23.38333333,0.097430556,465,21.33333333,0.088888889,330,20.5,0.085416667,166,17.01666667,0.070902778,358,10.7,0.044583333,213,2.516666667,0.010486111,58,1.666666667,0.006944444
4,28/10/2015,Philadelphia 76ers,23,95,0,Boston Celtics,2,12,9,112,0,201,38.08333333,0.158680556,189,37.98333333,0.158263889,185,36.06666667,0.150277778,386,35.03333333,0.145972222,203,26.95,0.112291667,480,27.58333333,0.114930556,235,26.61666667,0.110902778,435,6.083333333,0.025347222,91,5.6,0.023333333,NA,0,0,NA,0,0,NA,0,0,40,32.6,0.135833333,348,32.38333333,0.134930556,200,31.2,0.13,118,21.95,0.091458333,517,10.65,0.044375,190,29.15,0.121458333,165,22.01666667,0.091736111,219,21.05,0.087708333,18,20.03333333,0.083472222,260,15.03333333,0.062638889,270,1.966666667,0.008194444,487,1.966666667,0.008194444
5,28/10/2015,Chicago Bulls,5,115,1,Brooklyn Nets,3,11,11,100,0,243,34.31666667,0.142986111,412,30.23333333,0.125972222,392,29.61666667,0.123402778,130,29.43333333,0.122638889,504,21.75,0.090625,142,20.2,0.084166667,482,18.38333333,0.076597222,244,17.76666667,0.074027778,149,16.95,0.070625,1,16.4,0.068333333,307,4.95,0.020625,NA,0,0,63,33.33333333,0.138888889,248,32.35,0.134791667,489,24.46666667,0.101944444,464,23.21666667,0.096736111,525,12.05,0.050208333,49,28.73333333,0.119722222,442,24.25,0.101041667,26,22.15,0.092291667,138,15.46666667,0.064444444,491,14.66666667,0.061111111,355,9.316666667,0.038819444,NA,0,0
6,28/10/2015,Utah Jazz,29,87,0,Detroit Pistons,9,11,10,92,1,446,37.41666667,0.155902778,177,35.45,0.147708333,129,34.7,0.144583333,440,29.41666667,0.122569444,428,26.45,0.110208333,10,26.43333333,0.110138889,247,16.38333333,0.068263889,508,15.58333333,0.064930556,152,9.933333333,0.041388889,509,8.233333333,0.034305556,NA,0,0,NA,0,0,21,36.11666667,0.150486111,297,35.8,0.149166667,347,35.48333333,0.147847222,433,31.25,0.130208333,162,21.76666667,0.090694444,474,19.58333333,0.081597222,35,19.16666667,0.079861111,476,16.75,0.069791667,37,11.88333333,0.049513889,432,6.2,0.025833333,245,6,0.025,NA,0,0
7,28/10/2015,Denver Nuggets,8,105,0,Houston Rockets,11,11,12,85,0,155,37.9,0.157916667,112,35.6,0.148333333,295,30.83333333,0.128472222,169,29.48333333,0.122847222,253,21.55,0.089791667,205,24.5,0.102083333,528,19.56666667,0.081527778,424,18,0.075,115,15.68333333,0.065347222,391,3.916666667,0.016319444,160,1.483333333,0.006180556,372,1.483333333,0.006180556,512,36.7,0.152916667,210,36.38333333,0.151597222,506,33.16666667,0.138194444,485,28.53333333,0.118888889,95,24.91666667,0.103819444,98,29.41666667,0.122569444,409,21.26666667,0.088611111,380,15.83333333,0.065972222,226,10.81666667,0.045069444,286,1.483333333,0.006180556,454,1.483333333,0.006180556,NA,0,0
8,28/10/2015,Minnesota Timberwolves,18,112,0,Los Angeles Lakers,14,10,12,111,0,436,32.48333333,0.135347222,287,31.88333333,0.132847222,30,29.08333333,0.121180556,484,14.61666667,0.060902778,299,12.88333333,0.053680556,301,28.96666667,0.120694444,384,22.6,0.094166667,178,20.31666667,0.084652778,532,19.93333333,0.083055556,462,18.91666667,0.078819444,111,4.533333333,0.018888889,4,3.783333333,0.015763889,279,30.06666667,0.125277778,264,29.71666667,0.123819444,309,28.93333333,0.120555556,444,28.11666667,0.117152778,105,25.83333333,0.107638889,335,27.45,0.114375,452,20.63333333,0.085972222,388,19.06666667,0.079444444,54,17.18333333,0.071597222,344,13,0.054166667,NA,0,0,NA,0,0
9,28/10/2015,Cleveland Cavaliers,6,106,1,Memphis Grizzlies,15,12,12,76,0,198,33.85,0.144195953,331,30.8,0.131203408,300,28.85,0.122896699,498,25.06666667,0.106780263,378,22.63333333,0.096414625,510,19.98333333,0.085126021,434,18.33333333,0.078097267,363,17.98333333,0.076606319,216,15.15,0.064536741,19,10.86666667,0.04629038,455,5.983333333,0.025488108,212,5.25,0.022364217,103,31.26666667,0.130277778,533,30.9,0.12875,343,29.71666667,0.123819444,370,29.43333333,0.122638889,232,20.06666667,0.083611111,502,22.65,0.094375,361,17.5,0.072916667,52,16.68333333,0.069513889,43,14.73333333,0.061388889,215,14,0.058333333,263,7.066666667,0.029444444,447,5.983333333,0.024930556
10,28/10/2015,Charlotte Hornets,4,94,0,Miami Heat,16,10,10,104,0,359,37.86666667,0.157777778,292,34.68333333,0.144513889,389,32.5,0.135416667,7,21.76666667,0.090694444,404,18.43333333,0.076805556,96,29.98333333,0.124930556,238,27.01666667,0.112569444,473,18.31666667,0.076319444,59,13.31666667,0.055486111,167,6.116666667,0.025486111,NA,0,0,NA,0,0,85,32.31666667,0.134652778,176,30.88333333,0.128680556,341,30.41666667,0.126736111,148,29,0.120833333,183,20.25,0.084375,172,30.41666667,0.126736111,284,25.5,0.10625,353,17.11666667,0.071319444,274,13.46666667,0.056111111,521,10.63333333,0.044305556,NA,0,0,NA,0,0
