Game.ID,Date,Away.Team,Away.Team.ID,A.Score,away_week,DaysofRest.Away.Team,Home.Team,H.Team.ID,No.of.Players.H,No.of.Players.A,H.Score,home_week,DaysofRest.Home.Team,A.Player1,WA1,A.MP1,A.Player2,WA2,A.MP2,A.Player3,WA3,A.MP3,A.Player4,WA4,A.MP4,A.Player5,WA5,A.MP5,A.Player6,WA6,A.MP6,A.Player7,WA7,A.MP7,A.Player8,WA8,A.MP8,A.Player9,WA9,A.MP9,A.Player10,WA10,A.MP10,A.Player11,WA11,A.MP11,A.Player12,WA12,A.Player9.1,A.MP9.1,A.Player10.1,A.MP10.1,A.Player11.1,A.MP11.1,A.Player12.1,A.MP12,H.Player1,WH1,MP1,H.Player2,WH2,MP2,H.Player3,WH3,MP3,H.Player4,WH4,MP4,H.Player5,WH5,MP5,H.Player6,WH6,MP6,H.Player7,WH7,MP7,H.Player8,WH8,MP8,H.Player9,WH9,MP9,H.Player10,WH10,MP10,H.Player11,WH11,MP11,H.Player12,WH12,MP12
1,27/10/2015,Detroit Pistons,9,106,1,0,Atlanta Hawks,1,9,12,94,1,0,19,0.154791667,37.15,308,0.154513889,37.08333333,264,0.154375,37.05,146,0.143472222,34.43333333,385,0.133819444,32.11666667,422,0.102013889,24.48333333,424,0.066180556,15.88333333,218,0.045625,10.95,34,0.045208333,10.85,NA,0,0,NA,0,0,NA,0,34,10.85,NA,0,NA,0,NA,0,369,0.15,36,207,0.132777778,31.86666667,6,0.125972222,30.23333333,280,0.119583333,28.7,263,0.086805556,20.83333333,113,0.105694444,25.36666667,435,0.078888889,18.93333333,285,0.07625,18.3,439,0.067916667,16.3,330,0.033263889,7.983333333,331,0.022847222,5.483333333,NA,0,0
2,27/10/2015,Cleveland Cavaliers,6,95,1,0,Chicago Bulls,5,11,11,97,1,0,335,0.154791667,37.15,293,0.150277778,36.06666667,267,0.145069444,34.81666667,179,0.126875,30.45,444,0.087083333,20.9,455,0.103819444,24.91666667,320,0.084166667,20.2,386,0.070625,16.95,18,0.048125,11.55,190,0.015902778,3.816666667,194,0.013263889,3.183333333,NA,0,18,11.55,190,3.816666667,194,3.183333333,NA,0,216,0.152638889,36.63333333,116,0.135277778,32.46666667,367,0.131458333,31.55,449,0.12,28.8,349,0.105138889,25.23333333,429,0.092083333,22.1,217,0.071319444,17.11666667,127,0.0675,16.2,1,0.064722222,15.53333333,134,0.059861111,14.36666667,NA,0,0,NA,0,0
3,27/10/2015,New Orleans Pelicans,19,95,1,0,Golden State Warriors,10,9,12,111,1,0,30,0.143819444,34.51666667,143,0.139513889,33.48333333,101,0.110486111,26.51666667,339,0.079375,19.05,261,0.066180556,15.88333333,174,0.158402778,38.01666667,401,0.119444444,28.66666667,15,0.112222222,26.93333333,13,0.070555556,16.93333333,NA,0,0,NA,0,0,NA,0,13,16.93333333,NA,0,NA,0,NA,0,423,0.148402778,35.61666667,165,0.13625,32.7,128,0.122638889,29.43333333,273,0.110138889,26.43333333,24,0.077916667,18.7,20,0.097430556,23.38333333,415,0.088888889,21.33333333,292,0.085416667,20.5,149,0.070902778,17.01666667,315,0.044583333,10.7,191,0.010486111,2.516666667,53,0.006944444,1.666666667
4,28/10/2015,Philadelphia 76ers,23,95,1,0,Boston Celtics,2,9,12,112,1,0,182,0.158680556,38.08333333,172,0.158263889,37.98333333,168,0.150277778,36.06666667,343,0.145972222,35.03333333,183,0.112291667,26.95,427,0.114930556,27.58333333,209,0.110902778,26.61666667,387,0.025347222,6.083333333,80,0.023333333,5.6,NA,0,0,NA,0,0,NA,0,80,5.6,NA,0,NA,0,NA,0,37,0.135833333,32.6,309,0.134930556,32.38333333,181,0.13,31.2,105,0.091458333,21.95,461,0.044375,10.65,173,0.121458333,29.15,148,0.091736111,22.01666667,196,0.087708333,21.05,17,0.083472222,20.03333333,230,0.062638889,15.03333333,239,0.008194444,1.966666667,434,0.008194444,1.966666667
5,28/10/2015,Chicago Bulls,5,115,2,1,Brooklyn Nets,3,11,12,100,1,0,216,0.142986111,34.31666667,367,0.125972222,30.23333333,349,0.123402778,29.61666667,116,0.122638889,29.43333333,449,0.090625,21.75,127,0.084166667,20.2,429,0.076597222,18.38333333,217,0.074027778,17.76666667,134,0.070625,16.95,1,0.068333333,16.4,272,0.020625,4.95,NA,0,134,16.95,1,16.4,272,4.95,NA,0,56,0.138888889,33.33333333,221,0.134791667,32.35,436,0.101944444,24.46666667,414,0.096736111,23.21666667,469,0.050208333,12.05,45,0.119722222,28.73333333,394,0.101041667,24.25,23,0.092291667,22.15,124,0.064444444,15.46666667,438,0.061111111,14.66666667,313,0.038819444,9.316666667,NA,0,0
6,28/10/2015,Utah Jazz,29,87,1,0,Detroit Pistons,9,11,12,92,2,1,398,0.155902778,37.41666667,160,0.147708333,35.45,115,0.144583333,34.7,392,0.122569444,29.41666667,381,0.110208333,26.45,10,0.110138889,26.43333333,220,0.068263889,16.38333333,453,0.064930556,15.58333333,137,0.041388889,9.933333333,454,0.034305556,8.233333333,452,0,0,NA,0,137,9.933333333,454,8.233333333,452,0,NA,0,19,0.150486111,36.11666667,264,0.149166667,35.8,308,0.147847222,35.48333333,385,0.130208333,31.25,146,0.090694444,21.76666667,422,0.081597222,19.58333333,32,0.079861111,19.16666667,424,0.069791667,16.75,34,0.049513889,11.88333333,384,0.025833333,6.2,218,0.025,6,NA,0,0
7,28/10/2015,Denver Nuggets,8,105,1,0,Houston Rockets,11,12,12,85,1,0,140,0.157916667,37.9,99,0.148333333,35.6,262,0.128472222,30.83333333,152,0.122847222,29.48333333,224,0.089791667,21.55,185,0.102083333,24.5,472,0.081527778,19.56666667,378,0.075,18,102,0.065347222,15.68333333,348,0.016319444,3.916666667,145,0.006180556,1.483333333,329,0.006180556,102,15.68333333,348,3.916666667,145,1.483333333,329,1.483333333,457,0.152916667,36.7,188,0.151597222,36.38333333,451,0.138194444,33.16666667,432,0.118888889,28.53333333,84,0.103819444,24.91666667,87,0.122569444,29.41666667,364,0.088611111,21.26666667,337,0.065972222,15.83333333,202,0.045069444,10.81666667,253,0.006180556,1.483333333,405,0.006180556,1.483333333,131,0,0
8,28/10/2015,Minnesota Timberwolves,18,112,1,0,Los Angeles Lakers,14,12,11,111,1,0,388,0.135347222,32.48333333,254,0.132847222,31.88333333,27,0.121180556,29.08333333,431,0.060902778,14.61666667,266,0.053680556,12.88333333,268,0.120694444,28.96666667,341,0.094166667,22.6,161,0.084652778,20.31666667,476,0.083055556,19.93333333,412,0.078819444,18.91666667,98,0.018888889,4.533333333,4,0.015763889,476,19.93333333,412,18.91666667,98,4.533333333,4,3.783333333,247,0.125277778,30.06666667,234,0.123819444,29.71666667,274,0.120555556,28.93333333,396,0.117152778,28.11666667,93,0.107638889,25.83333333,296,0.114375,27.45,403,0.085972222,20.63333333,345,0.079444444,19.06666667,50,0.071597222,17.18333333,305,0.054166667,13,NA,0,0,NA,0,0
9,28/10/2015,Cleveland Cavaliers,6,106,2,1,Memphis Grizzlies,15,12,12,76,1,0,179,0.144195953,33.85,293,0.131203408,30.8,267,0.122896699,28.85,444,0.106780263,25.06666667,335,0.096414625,22.63333333,455,0.085126021,19.98333333,386,0.078097267,18.33333333,320,0.076606319,17.98333333,194,0.064536741,15.15,18,0.04629038,10.86666667,406,0.025488108,5.983333333,190,0.022364217,194,15.15,18,10.86666667,406,5.983333333,190,5.25,91,0.130277778,31.26666667,477,0.12875,30.9,304,0.123819444,29.71666667,327,0.122638889,29.43333333,206,0.083611111,20.06666667,447,0.094375,22.65,318,0.072916667,17.5,48,0.069513889,16.68333333,40,0.061388889,14.73333333,193,0.058333333,14,233,0.029444444,7.066666667,399,0.024930556,5.983333333
10,28/10/2015,Charlotte Hornets,4,94,1,0,Miami Heat,16,10,11,104,1,0,316,0.157777778,37.86666667,259,0.144513889,34.68333333,346,0.135416667,32.5,7,0.090694444,21.76666667,360,0.076805556,18.43333333,85,0.124930556,29.98333333,212,0.112569444,27.01666667,421,0.076319444,18.31666667,54,0.055486111,13.31666667,150,0.025486111,6.116666667,NA,0,0,NA,0,54,13.31666667,150,6.116666667,NA,0,NA,0,74,0.134652778,32.31666667,159,0.128680556,30.88333333,302,0.126736111,30.41666667,133,0.120833333,29,166,0.084375,20.25,155,0.126736111,30.41666667,251,0.10625,25.5,311,0.071319444,17.11666667,243,0.056111111,13.46666667,465,0.044305556,10.63333333,NA,0,0,NA,0,0
